_id,Institution Name,Institution Address,Outbreak Setting,Type of Outbreak,Causative Agent-1,Causative Agent-2,Date Outbreak Began,Date Declared Over,Active
1,Scarborough Health Network - Birchmount Hospital - 3D,3030 Birchmount Rd,Hospital-Chronic Care,Respiratory,Influenza A (Not subtyped),None,2024-12-31,2025-01-09,N
2,Baycrest Hospital - H7E,3560 Bathurst St,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-12-31,2025-01-11,N
3,"Villa Colombo Home for the Aged - 2 Fusco West , 4 Fusco North & 4 Fusco South",40 Playfair Ave,LTCH,Respiratory,Coronavirus*,None,2024-12-31,2025-01-22,N
4,Villa Colombo Homes for the Aged - 3 Fusco South,40 Playfair Ave,LTCH,Respiratory,Respiratory syncytial virus,None,2024-12-31,2025-01-06,N
5,"Chartwell Scarlett Heights - 3rd, 7th & 8th Fl",4005 Eglinton Ave W,Retirement Home,Respiratory,COVID-19,None,2024-12-31,2025-01-10,N
6,"Delmanor Northtown - 2nd, 5th & 6th Fl",5351 Yonge St,Retirement Home,Respiratory,Influenza A (Not subtyped),Enterovirus/ Rhinovirus,2024-12-31,2025-01-15,N
7,Bradgate Arms,54 Foxbar Rd,Retirement Home,Respiratory,COVID-19,None,2024-12-31,2025-01-14,N
8,Cheltenham Care Community - 1st & 3rd Fl,5935 Bathurst St,LTCH,Respiratory,Influenza A (H1N1),None,2024-12-31,2025-01-11,N
9,Runnymede Healthcare Centre - 4E,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-12-31,2025-01-08,N
10,Copernicus Lodge - 6th Fl,66 Roncesvalles Ave,LTCH,Respiratory,COVID-19,None,2024-12-31,2025-01-08,N
11,Centre for Addiction and Mental Health - PRT5,1001 Queen St W,Hospital-Psychiatric,Respiratory,COVID-19,None,2024-12-30,2025-01-08,N
12,Harmony Hills Care Community - 3A & 3B,1800 O'Connor Dr,LTCH,Respiratory,Influenza A (Not subtyped),None,2024-12-30,2025-01-11,N
13,"Delmanor Wynford - 3rd, 5th & 6th Fl",187 Wynford Dr,Retirement Home,Respiratory,Influenza A (Not subtyped),None,2024-12-30,2025-01-13,N
14,"Cummer Lodge - 2N, 2S, 3N, 3S & 4S",205 Cummer Ave,LTCH,Enteric,Norovirus,None,2024-12-30,2025-02-07,N
15,Humber Meadows - 5 South & 6 South,2109 Finch Ave W,LTCH,Respiratory,COVID-19,None,2024-12-30,2025-01-06,N
16,"Humber Meadows - 4 North, 5 North & 5 South",2109 Finch Ave W,LTCH,Enteric,Norovirus,None,2024-12-30,2025-01-15,N
17,St. George Care Community - 5th Fl,225 St.George St,LTCH,Respiratory,Influenza A (Not subtyped),None,2024-12-30,2025-01-08,N
18,Rekai Centres - Sherbourne Place,345 Sherbourne Pl,LTCH,Respiratory,Unable to identify,None,2024-12-30,2025-01-21,N
19,Baycrest Apotex Centre - Jewish Home for the Aged - 6GS,3560 Bathurst St,LTCH,Respiratory,COVID-19,None,2024-12-30,2025-01-11,N
20,Baycrest Apotex Centre - Jewish Home for the Aged - 4FR,3560 Bathurst St,LTCH,Respiratory,Influenza A (Not subtyped),None,2024-12-30,2025-01-05,N
21,Delmanor Prince Edward - 2nd Fl,4180 Dundas St W,Retirement Home,Respiratory,COVID-19,None,2024-12-30,2025-01-07,N
22,Extendicare Rouge Valley - Cedar Ridge House & BSU,551 Conlins Rd,LTCH,Respiratory,COVID-19,None,2024-12-30,2025-01-16,N
23,Extendicare Rouge Valley - Cedar Ridge House & Meadowvale,551 Conlins Rd,LTCH,Respiratory,Unable to identify,None,2024-12-30,2025-01-18,N
24,Runnymede Healthcare Centre - 4 West,625 Runnymede Rd,Hospital-Chronic Care,Respiratory,COVID-19,None,2024-12-30,2025-01-09,N
25,Greenview Lodge - 2nd Fl,880 Lawrence Ave E,Retirement Home,Respiratory,COVID-19,None,2024-12-30,2025-01-14,N
26,Seven Oaks - 2nd Fl,9 Neilson Rd,LTCH,Respiratory,Influenza A (Not subtyped),None,2024-12-30,2025-01-13,N
27,Humber Valley Terrace,95 Humber College Blvd,LTCH,Respiratory,Influenza A (Not subtyped),None,2024-12-30,2025-01-13,N
28,Weston Gardens Retirement Residence - 5th Fl,303 Queens Dr,Retirement Home,Respiratory,Influenza A (Not subtyped),None,2024-12-29,2025-01-13,N
29,Castleview Wychwood Towers - 3C,351 Christie St,LTCH,Respiratory,Influenza A (Not subtyped),None,2024-12-29,2025-01-06,N
30,The Heritage Nursing Home - 2nd Fl,1195 Queen St E,LTCH,Respiratory,Influenza A (Not subtyped),None,2024-12-28,2025-01-22,N
31,Lakeside Long Term Care Centre - 4th Fl,150 Dunn Ave,LTCH,Enteric,Norovirus,None,2024-12-28,2025-01-14,N
32,The Village of Humber Heights - 1 West & 3 West,2245 Lawrence Ave W,LTCH,Enteric,Unable to identify,None,2024-12-28,2025-01-10,N
33,Yee Hong Centre - Scarborough McNicoll - 3rd Fl,2311 McNicoll Ave,LTCH,Respiratory,COVID-19,None,2024-12-28,2025-01-11,N
34,Bendale Acres - 2 West,2920 Lawrence Ave E,LTCH,Respiratory,Influenza A (Not subtyped),None,2024-12-28,2025-01-06,N
35,Baycrest Apotex Centre - Jewish Home for the Aged - 5GS,3560 Bathurst St,LTCH,Respiratory,COVID-19,None,2024-12-28,2025-01-12,N
36,Baycrest Apotex Centre - Jewish Home for the Aged - 3EI,3560 Bathurst St,LTCH,Respiratory,Influenza A (Not subtyped),None,2024-12-28,2025-01-05,N
37,Valleyview Residence - 2W & 4E,541 Finch Ave W,LTCH,Respiratory,COVID-19,None,2024-12-28,2025-01-10,N
38,Centre for Addiction and Mental Health - Queen Site - Unit 3-5,1001 Queen St W,Hospital-Chronic Care,Enteric,Unable to identify,None,2024-12-27,2025-01-04,N
39,Centre for Addiction and Mental Health - Queen Site - CCC6,1001 Queen St W,Hospital-Psychiatric,Enteric,Unable to identify,None,2024-12-27,2024-12-31,N
40,Amica On The Avenue - 5th Fl,1066 Avenue Rd,Retirement Home,Enteric,Unable to identify,None,2024-12-27,2024-12-31,N
41,Delmanor West Village - 6th Fl,15 Summerland Terr,Retirement Home,Respiratory,COVID-19,None,2024-12-27,2025-01-06,N
42,The Wexford - 6th Fl,1860 Lawrence Ave E,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2024-12-27,2025-01-07,N
43,Cummer Lodge - 3S,205 Cummer Ave,LTCH,Respiratory,COVID-19,None,2024-12-27,2025-01-10,N
44,Scarborough Health Network - Centenary Hospital - 3EMBW,2867 Ellesmere Rd,Hospital-Acute Care,Respiratory,Respiratory syncytial virus,None,2024-12-27,2025-01-06,N
45,Rockcliffe Community - 3rd Fl,3015 Lawrence Ave E,LTCH,Respiratory,Respiratory syncytial virus,None,2024-12-27,2025-01-09,N
46,Villa Colombo Homes for the Aged - 3rd Fl Fidani & 3 Fusco West,40 Playfair Ave,LTCH,Respiratory,Influenza A (Not subtyped),None,2024-12-27,2025-01-16,N
47,"The Briton House - South Tower (3rd, 4th, 8th, 10th & 11th Fl) & North Tower (4th, 5th, 7th & 9th Fl)",720 Mt. Pleasant Rd,Retirement Home,Respiratory,COVID-19,None,2024-12-27,2025-01-16,N
48,Seven Oaks - 5th Fl,9 Neilson Rd,LTCH,Respiratory,COVID-19,None,2024-12-26,2025-01-10,N
49,Humber Valley Terrace,95 Humber College Blvd,LTCH,Respiratory,Metapneumovirus,Rhinovirus,2024-12-26,2025-01-18,N
50,The Teddington,4 Teddington Park Ave,Retirement Home,Enteric,Unable to identify,None,2024-12-25,2025-01-06,N
51,St. George Care Community - 3rd Fl,225 St. George St,LTCH,Respiratory,Enterovirus/ Rhinovirus,None,2024-12-24,2025-01-20,N
